"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_70","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_71","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","NA"
"ASV_72","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_73","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_74","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Candidatus_Saccharimonas","NA"
"ASV_75","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_76","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA","NA"
"ASV_77","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_78","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_79","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter","NA"
"ASV_80","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_81","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-006","bacterium"
"ASV_82","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_83","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA"
"ASV_84","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","NA","NA"
"ASV_85","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_86","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter","NA"
"ASV_87","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA"
"ASV_88","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_89","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_90","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_91","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2","NA"
"ASV_92","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_93","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","NA","NA"
